time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
,,,,100000,,,,,,,,,,,,,,,,,0.6353515625,480,0.16489366,0.0003,0.2,0.8588783144950867,0.009588803445149096,-0.11697603621869349,-4.0226287841796875,-0.18440283834934235,-292219.7465932,500.0
49,1.88,0.14668514472870567,500.0,100352,2.21,0.9927253824177201,209,478,-18.128632811835935,0.0,127.15,37.44636949788522,0.17948839949773018,-555.1631000000001,-26.0,-300719.29286698,-0.3146448415985892,-18.360775275313337,0.0,-579.5280580484449,,,,,,,,,,,,
50,3.76,0.16002933310364,500.0,102400,2.5,0.9933157200033632,211,484,-17.2684699679062,1.0,154.71,65.85227137319335,0.2239725580020689,-587.1903000000001,-7.5,-301342.63779163006,-2.587697613366453,-19.00953657578377,0.0,-566.7104170638596,0.65126953125,490,0.15786576,0.0003,0.2,0.8924105167388916,0.00770124564114667,-0.1212357834680006,-4.000330153107643,-0.19286610186100006,,
51,9.18,0.12075125979308511,500.0,104448,5.0,0.9243109245826637,212,491,-16.37595305558476,0.5,206.65,35.75880942924716,0.19458522167487685,-602.9522000000001,-3.0,-301178.17243458005,0.0,-117.38867944235477,0.0,-703.0337121441097,0.638818359375,500,0.1591532,0.0003,0.2,0.7965832948684692,0.00964515065861633,-0.11715430882177316,-3.994024342298508,-0.18263550102710724,,
52,3.62,0.10187897891258194,500.0,106496,3.38,1.6835882116249763,213,497,-15.205280320844867,0.49,216.55,29.021083578342157,0.1855283582089552,-450.0747,-67.5,-301927.80387727,-8.829133419620023,-9.35249153564865,0.0,-520.2569334861464,0.64814453125,510,0.17057678,0.0003,0.2,0.8289852738380432,0.009063583510942408,-0.1197640573780518,-3.961459231376648,-0.1870296597480774,,
53,2.5,0.1253722223096696,500.0,108544,3.33,0.943081156431624,215,504,-17.224042776522477,0.0,223.33,12.431081690753802,0.24642612186591795,-546.1563000000001,-14.5,-301745.47412545996,-0.1844378624356564,0.0,0.0,-564.6906177917726,0.653369140625,520,0.15969336,0.0003,0.2,0.6823968887329102,0.008481244683207479,-0.11902760580996982,-3.9285156071186065,-0.18553107976913452,,
,,,,110000,,,,,,,,,,,,,,,,,0.6619140625,530,0.17086509,0.0003,0.2,0.8401378393173218,0.00781250859836291,-0.12010798942646943,-3.944677582383156,-0.19098618626594543,-278742.946527,500.0
54,5.16,0.11429263507949575,500.0,110592,6.38,0.12536907536907538,212,519,-17.95319553162187,0.75,265.54,-2.1797999999999997,0.2468532338308458,-654.9930000000002,-8.5,-301349.17210036004,0.0,-26.96692098208151,0.0,-710.4675474383345,,,,,,,,,,,,
55,4.02,0.13648664311215844,500.0,112640,2.75,1.4355107798454818,214,525,-18.17968001922126,0.5,272.16,81.4565731028845,0.31611827003595877,-575.6801,0.0,-301173.4020854,0.0,-9.424071969488281,0.0,-520.3917681059796,0.64658203125,540,0.17119461,0.0003,0.2,0.91362464427948,0.006858322203333956,-0.11745581927825696,-3.9515235394239427,-0.18961508572101593,,
56,14.28,0.10397514146587854,500.0,114688,6.67,0.3646250318309142,215,532,-18.793829235120594,0.38,297.91,-0.7348000000000002,0.2630484951480223,-626.7209000000001,-12.5,-300333.79449824,-6.4308759461421,-103.0895922903897,0.0,-767.9053724398213,0.659033203125,550,0.1817466,0.0003,0.2,0.9155480861663818,0.007883455300907371,-0.11830111862509511,-3.9267958462238313,-0.18599900603294373,,
